expensive expensive 
parser parser 
function function 
unstrip unstrip 
recursion recursion 
lua lua 
memory memory 
wikibase wikibase 
entity entities 
loaded loaded 
transclusion transclusion 
m ms 
call calls 
total total 
short short 
description description 
navbox navbox 
sidebar sidebar 
collapsible collapsible 
pagetype pagetype 
nflprimarystyle nflprimarystyle 
column columns 
saved saved 
enwiki enwiki 
pcache pcache 
idhash idhash 
canonical canonical 
timestamp timestamp 
revision revision 
id id 
serialized serialized 
json json 
retrieved retrieved 
oldid oldid 
category categories 
hidden hidden 
match matches 
wikidata wikidata 
hcards hcards 
menu menu 
nav nav 
p p 
personal personal 
class class 
portlet portlet 
vector vector 
user user 
legacy legacy 
aria aria 
labelledby labelledby 
label label 
role role 
tool tools 
logged logged 
talk talk 
contribution contributions 
create create 
account account 
log log 
namespaces namespaces 
tab tabs 
variant variants 
emptyportlet emptyportlet 
dropdown dropdown 
noicon noicon 
input input 
type type 
checkbox checkbox 
button button 
haspopup haspopup 
true true 
data data 
event event events 
ui ui 
english english 
view views view 
read read 
cactions cactions 
title title 
option options 
form form 
action action 
index index 
php php 
searchform searchform 
box box 
div div 
simplesearch simplesearch 
inner inner 
loc loc 
header header 
placeholder placeholder 
autocapitalize autocapitalize 
sentence sentences 
f f 
accesskey accesskey 
searchinput searchinput 
searchbutton searchbutton 
fallbacksearchbutton fallbacksearchbutton 
submit submit 
fulltext fulltext 
text text 
value value 
go go 
page page pages 
exact exact 
exists exists 
wiki wiki 
logo logo 
href href 
main main 
visit visit 
portal portal 
random random 
contact contact 
u us 
donate donate 
interaction interaction 
contribute contribute 
help help 
learn learn 
community community 
recent recent 
change changes 
upload upload 
file file 
link links link 
related related 
permanent permanent 
information information 
cite cite 
item item 
coll coll 
print print 
export export 
download download 
pdf pdf 
printable printable 
version version 
lang lang 
language languages 
italiano italiano 
last last 
edited edited 
march march 
utc utc 
available available 
creative creative 
common commons 
attribution attribution 
sharealike sharealike 
license license 
additional additional 
term terms 
may may 
apply apply 
using using 
site site 
agree agree 
use use 
privacy privacy 
policy policy 
registered registered 
trademark trademark 
foundation foundation 
inc inc 
non non 
profit profit 
organization organization 
disclaimer disclaimers 
mobile mobile 
developer developers 
statistic statistics 
cookie cookie 
statement statement 
